        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        910285300b6f                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                [/k8s_POD_k4111106-eb9c-4ea5-9265-ae9a83e1ad9b-log-router-clndn_logging_25d48215-da53-4c4a-83dd-25a65b527ca2_0]
        bde7f3cc85d2                                                                                                   sha256:0575a0ebbd06787c237a98bea191b82361ee1a955be0be00b0b10d4a07635070   "/usr/local/bin/docker-entrypo…"               Up 7 days                  []                                                         [/k8s_elasticsearch_elasticsearch-master-1_ops_13ec2263-c35c-440c-acea-bf5c7387caee_0]
        4f7d07c8187e                                                 docker.elastic.co/elasticsearch/elasticsearch-oss@sha256:54d3baa653aa183c8aa295bf68a3ffa3709022b23b06b4cf64aeefef9dfea4b1                      "/bin/bash …"   Exited (0) 7 days ago                  []                                                                 [/k8s_chown_elasticsearch-master-1_ops_13ec2263-c35c-440c-acea-bf5c7387caee_0]
        d7ea2f8065a2                                                                                           busybox@sha256:a9286defaba7b3a519d585ba0e37d0b2cbee74ebfe590960b0b1d6a5e97d1e1d                         "sysctl …"   Exited (0) 7 days ago                  []                                                                [/k8s_sysctl_elasticsearch-master-1_ops_13ec2263-c35c-440c-acea-bf5c7387caee_0]
        612f2922b2b0                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                                   [/k8s_POD_elasticsearch-master-1_ops_13ec2263-c35c-440c-acea-bf5c7387caee_0]
        ddba15cab12b                                                  cirrus-docker.jfrog.io/datadogmonitoring/datadog@sha256:2aa2ff3b2a046b55e42ddd956f8223eaabf4bb8dbdf5b389dc0a6a3ab20de567                            "/init"               Up 7 days                  []                                                                 [/k8s_datadog_datadog-6ldcj_monitoring_d2ae7477-aae3-4a64-a055-767aeb1b13bd_0]
        a6b873da460d                                                    cirrus-docker.jfrog.io/constellationui/service@sha256:d0886e9c8affacac9d313899bbd2a8f168671c823aecb976bbf559399c475686                            "npm …"               Up 7 days                  []              [/k8s_constellation-customer-content_constellation-customer-content-569fc74bd5-4mm2q_c11n_2e8a53b2-9144-4d95-990f-b1fa9ea22081_0]
        1d4ff7190fe0                                                                                                   sha256:22bf8bf7627779a719e34a880389aa4089c5f2a18182b569ef1f9fb2c1e2887b                   "/entrypoint.sh"               Up 7 days                  []                                   [/k8s_gateway-service_gateway-service-5b5c667d76-77x59_morza-test-gw_2477aea1-e18b-4750-86a4-882b97b4c15b_0]
        d4b24d6343b5                                                    cirrus-docker.jfrog.io/constellationui/service@sha256:555107f3b331203b34631ee0c268c477aa3609ae326251a0d8343898d64bc31e                            "npm …"               Up 7 days                  []           [/k8s_constellation-customer-content85_constellation-customer-content85-c78f466cf-45khh_c11n_5d406422-5f19-4e5f-8f1b-703a6917b29d_0]
        86ec4b62d1bd                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                               [/k8s_POD_gateway-service-5b5c667d76-77x59_morza-test-gw_2477aea1-e18b-4750-86a4-882b97b4c15b_1]
